Series Name,"Series Code","Country Name","Country Code","2015 [YR2015]"
"Population, total","SP.POP.TOTL","Pakistan","PAK","210969298"
"Population, total","SP.POP.TOTL","Palau","PLW","17794"
"Population, total","SP.POP.TOTL","Panama","PAN","3957099"
"Population, total","SP.POP.TOTL","Papua New Guinea","PNG","8682174"
"Population, total","SP.POP.TOTL","Paraguay","PRY","6177950"
"Population, total","SP.POP.TOTL","Peru","PER","30711863"
"Population, total","SP.POP.TOTL","Philippines","PHL","103031365"
"Population, total","SP.POP.TOTL","Poland","POL","37986412"
"Population, total","SP.POP.TOTL","Portugal","PRT","10358076"
"Population, total","SP.POP.TOTL","Puerto Rico","PRI","3473232"
"Population, total","SP.POP.TOTL","Qatar","QAT","2414573"
"Population, total","SP.POP.TOTL","Romania","ROU","19815616"
"Population, total","SP.POP.TOTL","Russian Federation","RUS","144640716"
"Population, total","SP.POP.TOTL","Rwanda","RWA","11642959"
"Population, total","SP.POP.TOTL","Samoa","WSM","203571"
"Population, total","SP.POP.TOTL","San Marino","SMR","33570"
"Population, total","SP.POP.TOTL","Sao Tome and Principe","STP","201124"
"Population, total","SP.POP.TOTL","Saudi Arabia","SAU","32749848"
"Population, total","SP.POP.TOTL","Senegal","SEN","14356181"
"Population, total","SP.POP.TOTL","Serbia","SRB","7095383"
"Population, total","SP.POP.TOTL","Seychelles","SYC","93419"
"Population, total","SP.POP.TOTL","Sierra Leone","SLE","7314773"
"Population, total","SP.POP.TOTL","Singapore","SGP","5535002"
"Population, total","SP.POP.TOTL","Sint Maarten (Dutch part)","SXM","38825"
"Population, total","SP.POP.TOTL","Slovak Republic","SVK","5423801"
"Population, total","SP.POP.TOTL","Slovenia","SVN","2063531"
"Population, total","SP.POP.TOTL","Solomon Islands","SLB","612660"
"Population, total","SP.POP.TOTL","Somalia","SOM","13763906"
"Population, total","SP.POP.TOTL","South Africa","ZAF","55876504"
"Population, total","SP.POP.TOTL","South Sudan","SSD","11194299"
"Population, total","SP.POP.TOTL","Spain","ESP","46444832"
"Population, total","SP.POP.TOTL","Sri Lanka","LKA","21336697"
"Population, total","SP.POP.TOTL","St. Kitts and Nevis","KNA","47790"
"Population, total","SP.POP.TOTL","St. Lucia","LCA","175623"
"Population, total","SP.POP.TOTL","St. Martin (French part)","MAF","35020"
